Zip,City,State,Lat,Long
01070,PLAINFIELD,MA,42.51594987,-72.91925281
01071,RUSSELL,MA,42.159682,-72.85671906
01072,SHUTESBURY,MA,42.46696547,-72.42828291
01073,SOUTHAMPTON,MA,42.22559591,-72.71771884
01075,SOUTH HADLEY,MA,42.23576884,-72.58406297
01077,SOUTHWICK,MA,42.05354867,-72.76987168
01080,THREE RIVERS,MA,42.18119648,-72.36264586
01081,WALES,MA,42.05904996,-72.22534236
01082,WARE,MA,42.2649447,-72.25770529
01084,WEST CHESTERFIELD,MA,42.37567295,-72.88201777
01085,WESTFIELD,MA,42.12826604,-72.74982115
01088,WEST HATFIELD,MA,42.38632819,-72.63798934
01089,WEST SPRINGFIELD,MA,42.11601698,-72.63933857
01095,WILBRAHAM,MA,42.12824677,-72.44423998
01096,WILLIAMSBURG,MA,42.40776956,-72.76837042
01098,WORTHINGTON,MA,42.39617051,-72.93736522
01103,SPRINGFIELD,MA,42.10363782,-72.58800256
01104,SPRINGFIELD,MA,42.12888444,-72.57765114
01105,SPRINGFIELD,MA,42.1014773,-72.57828386
01106,LONGMEADOW,MA,42.05140077,-72.56652419
01107,SPRINGFIELD,MA,42.11868369,-72.60638991
01108,SPRINGFIELD,MA,42.08519403,-72.55802029
01109,SPRINGFIELD,MA,42.11671458,-72.55128837
01118,SPRINGFIELD,MA,42.09303739,-72.52788986
01119,SPRINGFIELD,MA,42.12722745,-72.51096758
01128,SPRINGFIELD,MA,42.09589048,-72.48830513
01129,SPRINGFIELD,MA,42.12411072,-72.48831499
01151,INDIAN ORCHARD,MA,42.15352235,-72.50381616
01201,PITTSFIELD,MA,42.45187495,-73.24816089
01220,ADAMS,MA,42.62361512,-73.1176154
01222,ASHLEY FALLS,MA,42.05996535,-73.31588791
01223,BECKET,MA,42.29785185,-73.08842164
01224,BERKSHIRE,MA,42.50601941,-73.19902255
01225,CHESHIRE,MA,42.56176458,-73.15392488
01226,DALTON,MA,42.46991764,-73.16529696
01230,GREAT BARRINGTON,MA,42.19122996,-73.36139051
01235,HINSDALE,MA,42.43394457,-73.08230362
01236,HOUSATONIC,MA,42.25755572,-73.37382694
01237,LANESBOROUGH,MA,42.52169539,-73.24129378
01238,LEE,MA,42.30555939,-73.24691432
01240,LENOX,MA,42.36489609,-73.27210942
01245,MONTEREY,MA,42.18683531,-73.1908618
01247,NORTH ADAMS,MA,42.6987314,-73.10799152
01253,OTIS,MA,42.22821709,-73.10917745
01254,RICHMOND,MA,42.3763592,-73.35801036
01255,SANDISFIELD,MA,42.10150775,-73.13318651
01256,SAVOY,MA,42.57375833,-73.01568747
01257,SHEFFIELD,MA,42.10187061,-73.36031321
01258,SOUTH EGREMONT,MA,42.08827969,-73.45909247
01259,SOUTHFIELD,MA,42.06714799,-73.26476853
01266,WEST STOCKBRIDGE,MA,42.3176015,-73.38394849
01267,WILLIAMSTOWN,MA,42.70185251,-73.20865127
01270,WINDSOR,MA,42.50751397,-73.04871004
01301,GREENFIELD,MA,42.60023668,-72.60098765
01330,ASHFIELD,MA,42.51765245,-72.8119545
01331,ATHOL,MA,42.58401539,-72.21659161
01337,BERNARDSTON,MA,42.68314294,-72.56236712
01338,BUCKLAND,MA,42.58815826,-72.79478445
01339,CHARLEMONT,MA,42.62732642,-72.87278721
01340,COLRAIN,MA,42.6792023,-72.71556748
01341,CONWAY,MA,42.51899342,-72.69624798
01342,DEERFIELD,MA,42.5409333,-72.60489685
01343,DRURY,MA,42.65600187,-72.9898832
01344,ERVING,MA,42.5940232,-72.45427326
01346,HEATH,MA,42.65346996,-72.82951548
01349,MILLERS FALLS,MA,42.57491566,-72.491721
01350,MONROE BRIDGE,MA,42.72133041,-72.94389341
01351,MONTAGUE,MA,42.5461972,-72.53349218
01354,GILL,MA,42.62880862,-72.52296937
01355,NEW SALEM,MA,42.50803563,-72.3295666
01360,NORTHFIELD,MA,42.68420746,-72.45159718
01364,ORANGE,MA,42.58952088,-72.29560652
01366,PETERSHAM,MA,42.48830894,-72.19072231
01367,ROWE,MA,42.70070444,-72.90545242
01368,ROYALSTON,MA,42.67016397,-72.179367
01370,SHELBURNE FALLS,MA,42.60156344,-72.7328131
01373,SOUTH DEERFIELD,MA,42.47817963,-72.61025418
01375,SUNDERLAND,MA,42.45580254,-72.56805376
01376,TURNERS FALLS,MA,42.59866875,-72.55639015
01378,WARWICK,MA,42.6696669,-72.33896971
01379,WENDELL,MA,42.54095469,-72.40592203
01380,WENDELL DEPOT,MA,42.55900321,-72.39729426
01420,FITCHBURG,MA,42.57857877,-71.80467618
01430,ASHBURNHAM,MA,42.65237141,-71.92909684
01431,ASHBY,MA,42.67539869,-71.81640755
01432,AYER,MA,42.55995096,-71.57147056
01434,DEVENS,MA,42.54242039,-71.61666183
